X : 1 if unit j processes task i starting at time t
    Size=525, Index=X_index
    Key                      : Lower : Value : Upper : Fixed : Stale : Domain
           ('Mix', 'Mix', 0) :     0 :   1.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 1) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 2) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 3) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 4) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 5) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 6) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 7) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 8) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 9) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 10) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 11) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 12) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 13) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 14) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Pack', 0) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Pack', 1) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Pack', 2) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Pack', 3) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Pack', 4) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Pack', 5) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Pack', 6) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Pack', 7) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Pack', 8) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Pack', 9) :     0 :     0 :     1 : False :  True : Binary
         ('Mix', 'Pack', 10) :     0 :     0 :     1 : False :  True : Binary
         ('Mix', 'Pack', 11) :     0 :     0 :     1 : False :  True : Binary
         ('Mix', 'Pack', 12) :     0 :     0 :     1 : False :  True : Binary
         ('Mix', 'Pack', 13) :     0 :     0 :     1 : False :  True : Binary
         ('Mix', 'Pack', 14) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_large', 0) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_large', 1) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_large', 2) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_large', 3) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_large', 4) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_large', 5) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_large', 6) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_large', 7) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_large', 8) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_large', 9) :     0 :     0 :     1 : False :  True : Binary
      ('Mix', 'R_large', 10) :     0 :     0 :     1 : False :  True : Binary
      ('Mix', 'R_large', 11) :     0 :     0 :     1 : False :  True : Binary
      ('Mix', 'R_large', 12) :     0 :     0 :     1 : False :  True : Binary
      ('Mix', 'R_large', 13) :     0 :     0 :     1 : False :  True : Binary
      ('Mix', 'R_large', 14) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_small', 0) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_small', 1) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_small', 2) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_small', 3) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_small', 4) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_small', 5) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_small', 6) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_small', 7) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_small', 8) :     0 :     0 :     1 : False :  True : Binary
       ('Mix', 'R_small', 9) :     0 :     0 :     1 : False :  True : Binary
      ('Mix', 'R_small', 10) :     0 :     0 :     1 : False :  True : Binary
      ('Mix', 'R_small', 11) :     0 :     0 :     1 : False :  True : Binary
      ('Mix', 'R_small', 12) :     0 :     0 :     1 : False :  True : Binary
      ('Mix', 'R_small', 13) :     0 :     0 :     1 : False :  True : Binary
      ('Mix', 'R_small', 14) :     0 :     0 :     1 : False :  True : Binary
           ('Mix', 'Sep', 0) :     0 :     0 :     1 : False :  True : Binary
           ('Mix', 'Sep', 1) :     0 :     0 :     1 : False :  True : Binary
           ('Mix', 'Sep', 2) :     0 :     0 :     1 : False :  True : Binary
           ('Mix', 'Sep', 3) :     0 :     0 :     1 : False :  True : Binary
           ('Mix', 'Sep', 4) :     0 :     0 :     1 : False :  True : Binary
           ('Mix', 'Sep', 5) :     0 :     0 :     1 : False :  True : Binary
           ('Mix', 'Sep', 6) :     0 :     0 :     1 : False :  True : Binary
           ('Mix', 'Sep', 7) :     0 :     0 :     1 : False :  True : Binary
           ('Mix', 'Sep', 8) :     0 :     0 :     1 : False :  True : Binary
           ('Mix', 'Sep', 9) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Sep', 10) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Sep', 11) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Sep', 12) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Sep', 13) :     0 :     0 :     1 : False :  True : Binary
          ('Mix', 'Sep', 14) :     0 :     0 :     1 : False :  True : Binary
         ('Pack1', 'Mix', 0) :     0 :     0 :     1 : False :  True : Binary
         ('Pack1', 'Mix', 1) :     0 :     0 :     1 : False :  True : Binary
         ('Pack1', 'Mix', 2) :     0 :     0 :     1 : False :  True : Binary
         ('Pack1', 'Mix', 3) :     0 :     0 :     1 : False :  True : Binary
         ('Pack1', 'Mix', 4) :     0 :     0 :     1 : False :  True : Binary
         ('Pack1', 'Mix', 5) :     0 :     0 :     1 : False :  True : Binary
         ('Pack1', 'Mix', 6) :     0 :     0 :     1 : False :  True : Binary
         ('Pack1', 'Mix', 7) :     0 :     0 :     1 : False :  True : Binary
         ('Pack1', 'Mix', 8) :     0 :     0 :     1 : False :  True : Binary
         ('Pack1', 'Mix', 9) :     0 :     0 :     1 : False :  True : Binary
        ('Pack1', 'Mix', 10) :     0 :     0 :     1 : False :  True : Binary
        ('Pack1', 'Mix', 11) :     0 :     0 :     1 : False :  True : Binary
        ('Pack1', 'Mix', 12) :     0 :     0 :     1 : False :  True : Binary
        ('Pack1', 'Mix', 13) :     0 :     0 :     1 : False :  True : Binary
        ('Pack1', 'Mix', 14) :     0 :     0 :     1 : False :  True : Binary
        ('Pack1', 'Pack', 0) :     0 :   0.0 :     1 : False : False : Binary
        ('Pack1', 'Pack', 1) :     0 :   0.0 :     1 : False : False : Binary
        ('Pack1', 'Pack', 2) :     0 :   0.0 :     1 : False : False : Binary
        ('Pack1', 'Pack', 3) :     0 :   0.0 :     1 : False : False : Binary
        ('Pack1', 'Pack', 4) :     0 :   0.0 :     1 : False : False : Binary
        ('Pack1', 'Pack', 5) :     0 :   0.0 :     1 : False : False : Binary
        ('Pack1', 'Pack', 6) :     0 :   1.0 :     1 : False : False : Binary
        ('Pack1', 'Pack', 7) :     0 :   0.0 :     1 : False : False : Binary
        ('Pack1', 'Pack', 8) :     0 :   0.0 :     1 : False : False : Binary
        ('Pack1', 'Pack', 9) :     0 :   0.0 :     1 : False : False : Binary
       ('Pack1', 'Pack', 10) :     0 :   0.0 :     1 : False : False : Binary
       ('Pack1', 'Pack', 11) :     0 :   0.0 :     1 : False : False : Binary
       ('Pack1', 'Pack', 12) :     0 :   1.0 :     1 : False : False : Binary
       ('Pack1', 'Pack', 13) :     0 :   0.0 :     1 : False : False : Binary
       ('Pack1', 'Pack', 14) :     0 :   0.0 :     1 : False : False : Binary
     ('Pack1', 'R_large', 0) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_large', 1) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_large', 2) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_large', 3) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_large', 4) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_large', 5) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_large', 6) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_large', 7) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_large', 8) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_large', 9) :     0 :     0 :     1 : False :  True : Binary
    ('Pack1', 'R_large', 10) :     0 :     0 :     1 : False :  True : Binary
    ('Pack1', 'R_large', 11) :     0 :     0 :     1 : False :  True : Binary
    ('Pack1', 'R_large', 12) :     0 :     0 :     1 : False :  True : Binary
    ('Pack1', 'R_large', 13) :     0 :     0 :     1 : False :  True : Binary
    ('Pack1', 'R_large', 14) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_small', 0) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_small', 1) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_small', 2) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_small', 3) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_small', 4) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_small', 5) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_small', 6) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_small', 7) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_small', 8) :     0 :     0 :     1 : False :  True : Binary
     ('Pack1', 'R_small', 9) :     0 :     0 :     1 : False :  True : Binary
    ('Pack1', 'R_small', 10) :     0 :     0 :     1 : False :  True : Binary
    ('Pack1', 'R_small', 11) :     0 :     0 :     1 : False :  True : Binary
    ('Pack1', 'R_small', 12) :     0 :     0 :     1 : False :  True : Binary
    ('Pack1', 'R_small', 13) :     0 :     0 :     1 : False :  True : Binary
    ('Pack1', 'R_small', 14) :     0 :     0 :     1 : False :  True : Binary
